_c0,EffectiveDate,PricePerUnit,LeaseContractLength,PurchaseOption,OfferingClass,Location,InstanceType,CurrentGeneration,InstanceFamily,vCPU,ClockSpeed,Memory,Storage,NetworkPerformance,OperatingSystem,Tenancy,usageType,DedicatedEBSThroughput,NormalizationSizeFactor,ProcessorFeatures
1000011,31/10/17,8.446,3yr,No Upfront,standard,Asia Pacific (Sydney),x1e.4xlarge,Yes,Memory optimized,16.0,2.3 GHz,488 GiB,1 x 480 SSD,Up to 10 Gigabit,Windows,Dedicated,APS2-DedicatedUsage:x1e.4xlarge,1750 Mbps,32.0,"Intel AVX, Intel AVX2"
1000013,07/12/18,7.104,1yr,Partial Upfront,standard,US West (N. California),i3.metal,Yes,Storage optimized,72.0,"",512 GiB,8 x 1900 NVMe SSD,25 Gigabit,Windows,Shared,USW1-BoxUsage:i3.metal,"",128.0,""
1000015,01/04/19,0.889,3yr,No Upfront,convertible,US West (N. California),i3en.3xlarge,Yes,Storage optimized,12.0,3.1 GHz,96 GiB,1 x 7500 NVMe SSD,Up to 25 Gigabit,RHEL,Shared,USW1-BoxUsage:i3en.3xlarge,Up to 3500 Mbps,24.0,""
1000020,01/07/19,0.0,"","","",EU (Ireland),c3.large,No,Compute optimized,2.0,2.8 GHz,3.75 GiB,2 x 16 SSD,Moderate,RHEL,Dedicated,EU-DedicatedRes:c3.large,"",4.0,Intel AVX; Intel Turbo
1000033,01/06/19,30527.0,1yr,Partial Upfront,standard,Asia Pacific (Seoul),r5d.8xlarge,Yes,Memory optimized,32.0,"",256 GiB,2 x 600 NVMe SSD,10 Gigabit,Windows,Shared,APN2-BoxUsage:r5d.8xlarge,"",64.0,""
1000052,11/10/18,187929.0,3yr,Partial Upfront,standard,Canada (Central),r5.metal,Yes,Memory optimized,96.0,"",768 GiB,EBS only,25 Gigabit,Linux,Dedicated,CAN1-DedicatedUsage:r5.metal,"",192.0,""
1000061,31/10/17,0.1214,1yr,Partial Upfront,convertible,AWS GovCloud (US),r4.xlarge,Yes,Memory optimized,4.0,2.3 GHz,30.5 GiB,EBS only,Up to 10 Gigabit,Linux,Dedicated,UGW1-DedicatedUsage:r4.xlarge,800 Mbps,8.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000063,05/08/18,5964.0,1yr,All Upfront,standard,Asia Pacific (Sydney),m5d.xlarge,Yes,General purpose,4.0,2.5 GHz,16 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,Linux,Dedicated,APS2-DedicatedUsage:m5d.xlarge,Upto 2120 Mbps,8.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000066,28/10/18,0.201,1yr,Partial Upfront,standard,US East (N. Virginia),r5a.xlarge,Yes,Memory optimized,4.0,2.5 GHz,32 GiB,EBS only,10 Gigabit,Windows,Dedicated,DedicatedUsage:r5a.xlarge,Upto 2120 Mbps,8.0,"AVX, AVX2, AMD Turbo"
1000069,01/03/19,280699.0,3yr,Partial Upfront,standard,US West (Oregon),m5ad.12xlarge,Yes,General purpose,48.0,2.5 GHz,192 GiB,2 x 900 NVMe SSD,10 Gigabit,Windows,Dedicated,USW2-DedicatedUsage:m5ad.12xlarge,5000 Mbps,96.0,"AVX, AVX2, AMD Turbo"
